Common_Name,Family,Location,Dimensions,Description,Scientific_Name
horse_mushroom,Agaricaceae,Europe and parts of North America and Asia,"Cap 8-20 cm diameter, stem 8-10 cm tall * 1.5-3 cm diameter","Agaricus arvensis, commonly known as the horse mushroom, is a sometimes massive agaric that has a white cap, ringed stem, pink or chocolate-coloured gills and no volva. It grows on soil (often heavily fertilized) or on vegetable debris.

Cap white or cream-coloured, may have fine scales, first hemispherical in shape before flattening out with maturity. The flesh is white, firm and thick. The cap turns yellowish where bruised, and old caps often take on a yellow-brown tinge. Gills are at first pale pink, becoming pink, then chocolate brown or blackish, free and crowded. Stem is white or cream, slightly club-shaped and smooth or finely scaly below the ring. The ring is white or cream, pendulous and superior. Viewed from below, on a closed-cap specimen, it may have a well-developed 'cogwheel' pattern around the stem. Spore print dark purple-brown.

Microscopic Features: The spores are ellipsoidal in shape, with a smooth surface and measuring approximately 6-9碌m in length and 4-6碌m in width.

Note:The mushroom called Horse mushroom in the USA is actually the closely related Agaricus fissuratus, which from a technical, scientific standpoint is a separate species. See Agaricus fissuratus on the MushroomExpert.Com web site.

Agaricus arvensis on the www.first-nature.com web site.
",agaricus_arvensis
the_prince,Agaricaceae,"Europe,  Asia, northern Africa and many parts of North America","Cap 10-20 cm diameter, stem 10-20 cm tall * 2-4 cm diameter","Agaricus augustus, also known as The Prince, is a tall, sometimes massive agaric that has orange-brown scales on the surface of the cap and on the stem below the ring. The surfaces of all parts may stain yellow when handled or bruised. 

Cap hemispherical during the so-called button stage, and then expands, becoming convex to broadly convex or nearly flat. The cap cuticle is dry and densely covered with concentrically arranged, brown-coloured scales on a white to yellow background. The flesh is thick, firm, and white and may discolour yellow when bruised. Gills are not attached to the stem, crowded and pallid at first, and turn pink then dark brown with maturity. Stem solid, cylindrical to club-shaped and no volva. Whitish and fairly bald above the membranous ring, but below the ring covered with whitish to faintly brownish scales. Spore print purple-brown.

Microscopic Features: The spores are ellipsoidal in shape, with a smooth surface. They measure approximately 7-10 渭m in length and 4.5-6.5 渭m in width.

Agaricus augustus on the First Nature Web site.

Agaricus augustus on the MushroomExpert.Com Web site.

The first photo is by George Chernilevsky under the Public domain license.",agaricus_augustus
meadow_mushroom,Agaricaceae,"Europe, North America, North Africa, Asia, Canada and Australia","Cap 3-12 cm diameter, stem 3-10 cm tall * 1-2 cm diameter","Agaricus campestris, commonly known as the Meadow Mushroom, is a medium-sized agaric with a white to brownish cap on a short stem with an indistinct ring and no volva. The mushroom grows solitary or grouped, often in fairy rings, on grassy soil in lawns, pastures or in cultivated fields.

Cap white (may have fine scales) at first hemispherical in shape before flattening out with maturity. The flesh is thick, firm, and white throughout, not changing when sliced. Gills free from the stem, narrow, pale pink at first, becoming bright pink, then dark purple-brown when spores mature. Stem short, cylindric or tapered toward the base, predominantly white and bears a single thin ring. Spore print deep chocolate brown.

Microscopic Features: The spores are ovoid in shape, measuring 6.5-9 碌m in length and 4-6 碌m in width.

Agaricus campestris on the www.first-nature.com web site.

Agaricus campestris on the MushroomExpert.Com web site.
",agaricus_campestris
wood_mushroom,Agaricaceae,"Europe, North America","Cap 6-14 cm diameter, stem 5-8 cm tall * 1-1.5 cm diameter","Agaricus sylvicola, commonly known as the Wood Mushroom, is a medium or large agaric with a creamy white cap, pinkish or chocolate-coloured gills, a stem with a ring and a  bulbous base. The mushroom grows in trooping groups on soil in coniferous woods, favouring spruce. 

Cap cream-coloured, bruising ochraceous and generally yellowing with age. It is at first sub-spherical or ovoid, becoming broadly convex and flattened. The flesh is white, unchanging and firm. Gills free from the stem, crowded, pinkish at first but turn greyish-pink and then chocolate brown as the spores mature. Stem white at first and turns yellow-grey as the fruit body matures with a small bulb at the base. The ring is single, large, pendulous, superior and attached high on the stem. Spore print chocolate brown.

Microscopic Features: The spores are ellipsoidal to ovoid in shape, exhibiting a smooth surface and measuring approximately 5-6.5 碌m in length and 3.5-4.5 碌m in width.

Agaricus sylvicola on the www.first-nature.com web site.

Agaricus sylvicola on the mykoweb.com web site.
",agaricus_sylvicola
common_fieldcap,Strophariaceae,North America and Europe,"Cap 1-3 cm diameter, stem 2-5 cm tall * 0.1-0.4 cm diameter","Agrocybe pediades, also known as the Common Fieldcap, is a small agaric with a rounded dull brownish cap on a slender stem. The mushroom grows solitary or grouped in grassy areas, cultivated or disturbed soil, pastures, etc.

Cap hemispheric to broadly rounded with a smooth surface that is sticky when moist. It is first brown to yellowish-brown, fading quickly to light yellowish-brown or lighter. Gills close, adnate (broadly attached) but soon pulling free from the stem. Pallid at first, becoming strong brown as spores mature. Stem cylindric, sometimes broadening slightly towards the base, fibrillose, yellowish-white above and yellowish-brown at the base. The mushroom has a partial veil that quickly disappears, leaving traces on the cap's edge. Spore print dark brown.

Microscopic Features: The spores are ellipsoidal in shape, with a smooth surface. They measure 9.5-15 碌m in length and 7-9.5 碌m in width. Additionally, they possess a germ pore and a small hilar appendage.

Agrocybe pediades on the www.first-nature.com web site.

Agrocybe pediades on the MushroomExpert.Com Web site.",agrocybe_pediades
spring_fieldcap,Strophariaceae,"Europe, North America, North Africa","Cap 3-9 cm diameter, stem 4-10 cm tall * 0.4-1.5 cm diameter","Agrocybe praecox, also known as Spring Fieldcap, is a medium-sized agaric with a cream-coloured cap, light brown gills, and a ring on the stem. It grows tufted or scattered on soil among grass, occasionally on rotting straw, and can be found in thickets and woodland edges.

Cap pallid tan or cream-coloured, occasionally appearing more brownish ochre. It is hygrophanous, drying to an almost white colour. Initially convex, it becomes expanded and can be smooth or sometimes wrinkled and greasy when young. As it ages, the cap develops slight crazing and sulcation. The flesh is whitish, firm, and moderate. Gills adnate or adnexed to almost free, pale buff at first becoming dirty brown as the spores mature. Stem whitish, but becomes discoloured brown with age. It is pruinose at the apex and more or less equal in thickness, with a bulbous base. The ring is initially white but turns brown as spores develop. It is fibrous, spreads out, and often remains partly attached to the cap margin. Spore print brown.

Microscopic Features: The spores are ellipsoidal to ovoid in shape, with a smooth surface. They measure 7.5-10 渭m in length and 5-6 渭m in width. Notably, they possess a prominent germ pore.

Agrocybe praecox on the www.first-nature.com web site.


Agrocybe praecox on the MushroomExpert.Com Web site.",agrocybe_praecox
fused_polypore,Polyporaceae,"North America, Europe","Cap 7-18 cm diameter, stem 3-7 cm tall * 1-3 cm thick","From above, this pale orange polypore looks like an agaric or a hedgehog mushroom, but it has minute pores on the underside. The skin of the convex cap often cracks with age. It has a sturdy stem and very firm white flesh. It can be found growing under conifers and forms a mycorrhizal relationship with them in a diverse range of ecosystems.

Cap unevenly shaped, with a loose convex, flat, or irregular surface that may be fused together. It is dry and smooth, but can develop slight cracks as it ages. Initially, it has a pale orange, pinkish buff, or orangish colour which later transitions into different shades of tan. The flesh is white. Stem white, often with orange spots, sometimes several stems fused together at the base. Spore print white.

Microscopic Features: The spores of this fungus are smooth, weakly amyloid, and elliptical, measuring 4-5.5 x 2.5-4 碌. Gloeoplerous hyphae are scattered throughout the tissue and show swollen areas, staining with phloxine. Clamp connections are present.

Similar species include Albatrellus ovinus which is more cream white and does stain yellow or greenish-yellow, particularly on the pores.

Albatrellus confluens on the MushroomExpert.Com Web site.",albatrellus_confluens
sheep_polypore,Polyporaceae,"North America, Europe","Cap 7-18 cm diameter, stem 3-7 cm tall * 1-3 cm thick","Albatrellus ovinus, also known as Sheep Polypore, is a creamy to pale grey-brown polypore that looks like an agaric or a hedgehog mushroom from above, but it has minute pores on the underside. It stains lemon or greenish-yellow, particularly on the pores. The mushroom grows under conifers, mycorrhizal with spruce on moss-covered soil.

Cap irregularly shaped, with a creamy white or pale grey colour. It starts out convex, but soon flattens and develops a central depression, becoming distorted and lobed. The margin is wavy and usually remains incurved. As it ages or in very dry weather, the skin may crack. Multiple caps can also fuse together to become firmly conjoined. Stem either central or slightly off-center and has a colour that ranges from whitish to tan. It has a smooth texture or may be very finely velvety. Spore print white.

Microscopic Features: The spores are ellipsoidal to subglobose, measuring 4-4.5 渭m in length and 3-3.5 渭m in width. They have a smooth surface and possess a germ pore. Moreover, they are inamyloid.

Similar species include Albatrellus confluens which is more orange.

Albatrellus ovinus on the First Nature Web site.

Albatrellus ovinus on the MushroomExpert.Com Web site.",albatrellus_ovinus
orange_peel_fungus,Pyronemataceae,"Europe, North America, South America, Asia, and Australasia",3-6 (10) cm diameter * 2-4 cm tall,"Aleuria aurantia, also known as the Orange Peel Fungus, is a fungus whose fruiting body resembles an orange cup or irregular disc. This mushroom typically grows in clusters on bare soil in wooded areas or among low grasses, often favouring gravelly ground.

Fruiting body apothecial upper (hymenial) surface is bright orange, while the outer (lower) surface is whitish and covered with very small scales. Initially, it is cup-shaped, but as it ages, it becomes more saucer-like and irregular, often developing splits at the wavy margin. It is sessile. The flesh is pallid, brittle and thin. Spore print white.

Microscopic Features: Spores ellipsoidal in shape, displaying a rough, net-like surface pattern, measuring 17-24 x 9-11碌m (including the ornamentation). Spores typically contain two small oil droplets, occasionally featuring thorn-like projections at both ends.

Aleuria aurantia on the First Nature Web site.

Aleuria aurantia on the MushroomExpert.Com Web site.",aleuria_aurantia
banded_amanita,Amanitaceae,Europe,"Cap 5-12 cm diameter, stem 7-15 cm tall * 0.8-1.8 cm diameter","Amanita battarrae, also known as the Banded Amanita, is a medium-sized, grey-brown, fleshy agaric with a volval bag, but no ring or cap patches. It is distinguished from other ringless Amanita species (often referred to as grisettes) by the zoned colouring of its marginally grooved cap. It grows solitary or scattered on soil in broad-leaf woods (particularly oaks but also Ash and Hazel) and on heaths. It fruits during the summer and autumn.

Cap starts off egg-shaped, becoming convex, and then flattening while still keeping a shallow umbo. It has pronounced striations at the margin, often featuring a narrow dark band where the striations begin. The cap colour consists of a range of grey-brown shades, with the centre darkening as the fruit body matures. Occasionally, velar fragments may be present when the mushroom is young. Gills free from the stem or slightly attached to it, creamy white, close or crowded. There are often a few short gills, of variable length and irregularly distributed. Stem white or tinged with the cap colour, tapering only slightly (narrower near the cap). The base is enclosed in a sacklike, persistent, white volva with orange-brown spots. The volva is sometimes buried below ground level or in leaf litter. The stem has no ring. Spore print white.

Microscopic Features: Spores are spherical, smooth, and measure 11-13碌m in size. They are inamyloid.

Note: A very similar species occurs in some parts of North America.

Amanita battarrae on the First Nature Web site.",amanita_battarrae
